,altitude,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,speed,timestamp,unknown_88,time_elapsed,time_interval,speed_mph,difference_in_speed_mph,speed_kmh,difference_in_speed_kmh,speed_meters_sec,speed_feet_sec,pace_min_mile,pace_min_km,distance_total_miles,distance_total_km,distance_interval_miles,distance_interval_km,elevation_meters,elevation_feet,rise_meters,rise_feet,run_meters,run_feet,gradient_%,hr_%
201,79.0,6313.84,79.0,9.499,109.0,445551922.0,-1456713091.0,9.499,2020-06-18 14:15:46,300.0,0 days 00:22:13.000000000,0 days 00:00:07.000000000,21.24865851818182,1.8790265454545434,34.196400000000004,3.024000000000001,9.499,31.16469916,2.8237076683527977,1.7545706565603394,3.9232382883957686,6.31384,0.041526238106060556,0.06682999999999993,79.0,259.18636,-6.200000000000003,-20.34120800000001,66.82999999999993,219.25853719999975,-9.277270686817312,56.18556701030928
202,75.4,6350.44,75.4,8.304,104.0,445555379.0,-1456715425.0,8.304,2020-06-18 14:15:50,300.0,0 days 00:22:17.000000000,0 days 00:00:04.000000000,18.575519563636362,-2.6731389545454576,29.8944,-4.302000000000003,8.304,27.24409536,3.2300577001063617,2.0070648683365446,3.945980474031655,6.35044,0.022742186363636025,0.03659999999999945,75.4,247.375336,-3.5999999999999943,-11.811023999999982,36.599999999999454,120.07874399999821,-9.836065573770624,53.608247422680414
203,74.2,6366.16,74.2,7.614,100.0,445557057.0,-1456715540.0,7.614,2020-06-18 14:15:52,300.0,0 days 00:22:19.000000000,0 days 00:00:02.000000000,17.032033472727274,-1.543486090909088,27.4104,-2.4840000000000018,7.614,24.98031576,3.5227737249386952,2.1889501794939146,3.955748429173626,6.36616,0.009767955454545613,0.015720000000000255,74.2,243.438328,-1.2000000000000028,-3.9370080000000094,15.720000000000255,51.574804800000834,-7.633587786259437,51.546391752577314
204,73.0,6380.98,73.0,7.362,100.0,445558522.0,-1456714777.0,7.362,2020-06-18 14:15:54,300.0,0 days 00:22:21.000000000,0 days 00:00:02.000000000,16.46832550909091,-0.5637079636363644,26.5032,-0.9071999999999996,7.362,24.15354408,3.6433576666236385,2.2638775695010414,3.964957150242583,6.380979999999999,0.009208721363636182,0.014819999999999708,73.0,239.50132,-1.2000000000000028,-3.9370080000000094,14.819999999999709,48.62204879999904,-8.097165991903013,51.546391752577314
205,67.6,6419.39,67.6,3.984,104.0,445561999.0,-1456713824.0,3.984,2020-06-18 14:16:03,300.0,0 days 00:22:30.000000000,0 days 00:00:09.000000000,8.911954472727274,-7.556371036363636,14.3424,-12.1608,3.984,13.07086656,6.73252990504097,4.183400267737618,3.9888240177364196,6.41939,0.023866868257576234,0.03841000000000076,67.6,221.78478399999997,-5.400000000000006,-17.71653600000002,38.410000000000764,126.01706440000251,-14.058838844050763,53.608247422680414
206,66.8,6423.09,66.8,3.798,107.0,445562258.0,-1456714203.0,3.798,2020-06-18 14:16:04,300.0,0 days 00:22:31.000000000,0 days 00:00:01.000000000,8.49588430909091,-0.4160701636363644,13.672799999999999,-0.6696000000000009,3.798,12.46063032,7.06224305994819,4.388274530454626,3.9911230911476974,6.42309,0.002299073484848372,0.003699999999999818,66.8,219.160112,-0.7999999999999972,-2.6246719999999906,3.699999999999818,12.139107999999403,-21.621621621622605,55.154639175257735
207,66.2,6426.68,66.2,3.788,110.0,445562510.0,-1456714570.0,3.788,2020-06-18 14:16:05,300.0,0 days 00:22:32.000000000,0 days 00:00:01.000000000,8.473514945454545,-0.02236936363636488,13.6368,-0.03599999999999959,3.788,12.42782192,7.080886785027252,4.399859204505456,3.9933538137278295,6.42668,0.002230722651515242,0.0035900000000001456,66.2,217.191608,-0.5999999999999943,-1.9685039999999814,3.5900000000001455,11.778215600000477,-16.713091922004736,56.70103092783505
208,65.0,6433.35,65.0,3.499,115.0,445562996.0,-1456715231.0,3.499,2020-06-18 14:16:07,300.0,0 days 00:22:34.000000000,0 days 00:00:02.000000000,7.827040336363637,-0.6464746090909079,12.5964,-1.0404,3.499,11.47965916,7.665732821287004,4.763265694960465,3.9974983595800526,6.433350000000001,0.0041445459848485295,0.006670000000000073,65.0,213.2546,-1.2000000000000028,-3.9370080000000094,6.670000000000073,21.883202800000237,-17.99100449775097,59.27835051546392
209,64.2,6439.41,64.2,3.2,119.0,445563388.0,-1456715881.0,3.2,2020-06-18 14:16:09,300.0,0 days 00:22:36.000000000,0 days 00:00:02.000000000,7.158196363636365,-0.6688439727272719,11.52,-1.0763999999999996,3.2,10.498688000000001,8.381999731776007,5.208333333333334,4.001263869005011,6.43941,0.0037655095454542293,0.00605999999999949,64.2,210.629928,-0.7999999999999972,-2.6246719999999906,6.059999999999491,19.88189039999833,-13.201320132014263,61.34020618556701
210,63.6,6445.62,63.6,3.032,122.0,445563767.0,-1456716570.0,3.032,2020-06-18 14:16:11,300.0,0 days 00:22:38.000000000,0 days 00:00:02.000000000,6.782391054545455,-0.3758053090909099,10.9152,-0.6047999999999991,3.032,9.94750688,8.846437711636948,5.496921723834652,4.005122584108804,6.44562,0.00385871522727275,0.006210000000000037,63.6,208.661424,-0.6000000000000014,-1.9685040000000047,6.210000000000036,20.37401640000012,-9.661835748792237,62.88659793814433
